"regiao";"sexo";"idade_quinquenal";"raca_cor";"educ_mae";"ocup_mae";"educ_pai";"ocup_pai";"educ";"pessoas";"classesocial";"rendafa";"rendarange";"ocup";"freq_esc";"peso";"peso_pond";"se_trab";"empregados";"estuda_atualmente"
"225";3;2;3;2;9;9412;9;7112;2;5;3;2000;3;NA;1;18701,26953125;1,19768607616425;2;0;2
"226";3;1;1;1;1;9611;99;5212;1;7;2;2200;4;7112;1;16151,51953125;1,03439235687256;1;1;3
"227";3;2;1;3;1;5120;1;8322;2;3;3;1400;3;NA;1;15039,845703125;0,963197410106659;3;0;2
"228";3;2;3;3;9;9994;1;8343;1;4;5;130;1;NA;1;17373,416015625;1,11264634132385;2;0;3
"229";3;1;1;7;1;9994;1;6225;2;3;3;1178;2;7112;1;12475,3330078125;0,7989581823349;1;1;1
"230";3;2;1;4;1;9111;1;8332;2;4;3;900;2;NA;1;12455,6669921875;0,797698676586151;4;0;1
"231";3;1;2;7;1;5120;99;9998;1;4;3;678;1;NA;1;17365,181640625;1,11211895942688;2;0;3
"232";3;1;3;3;9;6225;9;6225;2;5;3;1500;3;5414;1;16213,0830078125;1,03833508491516;1;1;2
"233";3;2;2;3;1;9111;99;7231;2;4;3;700;2;NA;1;19259,455078125;1,23343396186829;4;0;2
"234";3;1;2;3;99;7533;99;8321;1;7;3;800;2;NA;1;15530,154296875;0,994598150253296;2;0;3
